iteration,ocr_time_ms,summary_time_ms,translation_time_ms,mcq_time_ms
1,19.493412850032428,19.184717611160377,20.898803380110323,21.254326740146723
2,19.896705149392087,21.38828944672861,19.565265026958265,21.750744893207997
3,20.861824587731295,19.564669634819364,19.16654493537616,20.492174888559422
4,19.95045786655077,20.38793016288002,20.030812020392545,20.23698165903078
5,19.777413799088805,19.32508445372361,18.920971417106166,21.290210728171093
6,20.91104391993709,20.39061768569087,21.168926584340078,19.580787323804532
7,19.914982591117976,20.631541639569047,20.690631749839497,21.71720938673895
8,21.346886784286852,21.18507400305667,18.90777731704531,21.709430447591846
9,19.270362616122853,19.90308125337911,20.14848446028462,21.220196112120455
10,19.134820094055147,19.0021738403608,20.590382049612128,21.644821394922037
