iteration,experiment,devices,ocr_time_ms,summary_time_ms,translation_time_ms,mcq_time_ms,total_time_ms,cpu_utilization_pct,ram_utilization_mb,status
1,Single_Device_Baseline,1,20.86943457807618,19.246490409554816,19.686454856598807,19.94181865382629,79.7441984980561,30.05889622945442,428.18326054962563,COMPLETED
2,Single_Device_Baseline,1,21.901756545978994,19.60413310320818,19.984258834233547,20.36542424558241,81.85557272900314,31.042427401167743,438.84217040814076,COMPLETED
3,Single_Device_Baseline,1,20.47913744211432,19.51835069408918,19.90765857768484,19.975173205718182,79.88031991960652,31.58846205165905,418.73104444975917,COMPLETED
4,Single_Device_Baseline,1,20.60192836853193,19.61253761247821,21.030674590614986,19.32788326382782,80.57302383545294,35.7888734349327,434.82506422024153,COMPLETED
5,Single_Device_Baseline,1,21.250826349341917,21.164191223352717,19.953456014049422,21.432990922533758,83.80146450927782,35.45280262900695,439.58243934072567,COMPLETED
6,Single_Device_Baseline,1,19.08259650812764,20.442685524568304,20.51900113889488,20.602477347617448,80.64676051920827,33.34158867630477,422.6929864018316,COMPLETED
7,Single_Device_Baseline,1,19.78884296681352,20.42540228983794,19.449742952007096,21.836215774890054,81.5002039835486,34.33653870504857,443.8149481376969,COMPLETED
8,Single_Device_Baseline,1,20.219519854492766,19.583941156220924,19.074570215495278,20.374977945467617,79.25300917167658,32.76530502052486,425.7307730809844,COMPLETED
9,Single_Device_Baseline,1,20.152966544087196,19.73805827826572,19.351150699820508,19.24655250350033,78.48872802567375,32.2391144363566,414.52164155437214,COMPLETED
10,Single_Device_Baseline,1,20.69587139011512,20.03087972473659,20.872128472318032,20.337321129486202,81.93620071665595,30.657585305171573,435.0193016909544,COMPLETED
