iteration,scheduler,total_time_ms,task_failures,capability_match_score,cpu_utilization_pct
1,Round_Robin_Baseline,123.64920689221121,1,0.5632212990463572,54.59483895868704
2,Round_Robin_Baseline,106.38156413231789,0,0.5941909582783027,53.62141781388248
3,Round_Robin_Baseline,109.16260232470582,2,0.6751217979998303,54.07303897586978
4,Round_Robin_Baseline,100.59259837392696,0,0.5849549207361474,43.67259541348445
5,Round_Robin_Baseline,114.82351195818589,1,0.6092758727388136,56.3647156039288
6,Round_Robin_Baseline,97.32273136209251,1,0.6641283661098416,50.223181376207094
7,Round_Robin_Baseline,95.16901674496363,1,0.6634258762859527,45.58253602894629
8,Round_Robin_Baseline,117.1921273688051,1,0.5891343276759834,50.75245730165678
9,Round_Robin_Baseline,122.19166529875412,2,0.5912197604461775,42.73942874585869
10,Round_Robin_Baseline,105.89711890745124,1,0.6069523752759127,54.9309656070881
1,CogMesh_Capability_Constrained,45.2474030016951,0,0.9728767857433812,23.788884651680554
2,CogMesh_Capability_Constrained,51.66988175642116,0,0.9627611983788931,23.10144800655355
3,CogMesh_Capability_Constrained,46.830601394976945,0,0.955349027948752,28.98540847798904
4,CogMesh_Capability_Constrained,44.47389659831539,0,0.9965388656135454,27.068747891913024
5,CogMesh_Capability_Constrained,49.92490080181267,0,0.996630008335015,25.37633955667713
6,CogMesh_Capability_Constrained,44.44539494395268,0,0.9625310542645208,25.24282132989526
7,CogMesh_Capability_Constrained,45.83894146416785,0,0.9955237951332226,26.364624086259248
8,CogMesh_Capability_Constrained,50.220339847530376,0,0.9761038332673806,30.880786698879163
9,CogMesh_Capability_Constrained,51.92475521993072,0,0.9646515916939231,28.46218765534733
10,CogMesh_Capability_Constrained,51.161997359761095,0,0.977396233828218,27.83702796925214
